MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
373765000,2021-02-20T00:09:10,37.26333,-76.10579,0.1,267.2,353.0,AM CONTRECOEUR,IMO9583184,3FBX4,70,1,229,32,14.4,,A
477770400,2021-02-20T00:09:28,36.87992,-76.33155,0.0,98.3,96.0,BAO MAY,IMO9410155,VRGV8,70,0,292,45,18.2,70,A
367353070,2021-02-20T00:10:48,36.88663,-76.33868,0.0,127.0,10.0,EVERGREEN STATE,IMO9408138,WDE4430,80,5,183,32,11.8,89,A
367359930,2021-02-20T00:09:24,36.82418,-76.28912,0.0,296.8,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
477770400,2021-02-20T00:10:38,36.87993,-76.33157,0.0,98.3,96.0,BAO MAY,IMO9410155,VRGV8,70,0,292,45,18.2,70,A
366839000,2021-02-20T00:11:07,36.85350,-76.31088,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,,A
218844000,2021-02-20T00:10:49,36.87782,-76.35013,0.0,128.0,347.0,CMA CGM IVANHOE,IMO9365805,DFPJ2,70,5,350,42,15.0,79,A
367821000,2021-02-20T00:10:52,36.97283,-76.43367,0.0,0.0,511.0,YANO,IMO7825409,NAQH,70,5,276,32,13.0,70,A
367359930,2021-02-20T00:10:35,36.82417,-76.28912,0.0,297.9,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
367359930,2021-02-20T00:11:45,36.82417,-76.28911,0.0,301.4,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
368445000,2021-02-20T00:11:03,36.96309,-76.42007,0.0,55.8,188.0,OVERSEAS NIKISKI,IMO9353577,WDBH,80,5,183,32,12.2,80,A
373765000,2021-02-20T00:12:12,37.26333,-76.10582,0.1,267.2,355.0,AM CONTRECOEUR,IMO9583184,3FBX4,70,1,229,32,14.4,,A
367822000,2021-02-20T00:11:08,36.97310,-76.43386,0.0,0.0,511.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
636092329,2021-02-20T00:10:45,36.96288,-76.42414,0.0,35.2,39.0,BLUMENAU,IMO9605633,D5AL3,70,5,229,32,14.4,,A
368026000,2021-02-20T00:11:43,36.86577,-76.31602,0.0,234.1,511.0,BENAVIDEZ,IMO9218210,NBHG,70,5,289,32,10.9,70,A
356643000,2021-02-20T00:11:06,36.93809,-76.37826,0.1,1.2,261.0,ARKI,IMO9561801,3ENP3,70,1,170,27,9.7,70,A
218844000,2021-02-20T00:13:47,36.87767,-76.35010,0.0,128.0,347.0,CMA CGM IVANHOE,IMO9365805,DFPJ2,70,5,350,42,15.0,79,A
338846000,2021-02-20T00:10:46,36.86555,-76.31578,0.0,0.1,511.0,USNS MENDONCA,IMO9147320,NBMK,70,5,289,32,10.9,,A
367862000,2021-02-20T00:10:31,36.94810,-76.32968,0.0,35.7,280.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,,A
366842000,2021-02-20T00:12:07,36.85383,-76.31122,0.0,0.0,42.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,,A
368445000,2021-02-20T00:14:03,36.96311,-76.42011,0.0,55.8,188.0,OVERSEAS NIKISKI,IMO9353577,WDBH,80,5,183,32,12.2,80,A
319155200,2021-02-20T00:11:35,36.87955,-76.32640,0.0,300.5,275.0,CLARA,IMO9304083,ZGII,70,5,225,32,7.3,70,A
636092329,2021-02-20T00:13:47,36.96285,-76.42415,0.0,35.2,39.0,BLUMENAU,IMO9605633,D5AL3,70,5,229,32,14.4,,A
367359930,2021-02-20T00:13:04,36.82419,-76.28913,0.0,291.7,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
366841000,2021-02-20T00:11:57,36.85327,-76.31053,0.0,0.0,511.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,,A
477950300,2021-02-20T00:12:33,36.87523,-76.34929,0.0,157.7,347.0,COSCO DEVELOPMENT,IMO9472139,VRIZ9,70,5,366,48,15.5,70,A
338846000,2021-02-20T00:13:46,36.86559,-76.31581,0.0,0.1,511.0,USNS MENDONCA,IMO9147320,NBMK,70,5,289,32,10.9,,A
356589000,2021-02-20T00:13:13,37.23809,-76.09447,0.0,116.5,341.0,DOUBLE FORTUNE,IMO9574119,3FHZ2,70,1,234,38,14.5,70,A
477770400,2021-02-20T00:16:20,36.87994,-76.33155,0.0,98.3,96.0,BAO MAY,IMO9410155,VRGV8,70,0,292,45,18.2,70,A
477770400,2021-02-20T00:13:59,36.87994,-76.33156,0.0,98.3,96.0,BAO MAY,IMO9410155,VRGV8,70,0,292,45,18.2,70,A
356643000,2021-02-20T00:14:05,36.93819,-76.37828,0.1,6.1,256.0,ARKI,IMO9561801,3ENP3,70,1,170,27,9.7,70,A
366842000,2021-02-20T00:15:07,36.85382,-76.31115,0.0,0.0,42.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,,A
218844000,2021-02-20T00:16:47,36.87780,-76.35010,0.0,128.0,347.0,CMA CGM IVANHOE,IMO9365805,DFPJ2,70,5,350,42,15.0,79,A
367862000,2021-02-20T00:13:30,36.94806,-76.32967,0.0,35.7,280.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,,A
367862000,2021-02-20T00:16:30,36.94807,-76.32974,0.0,35.7,280.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,,A
636092329,2021-02-20T00:16:49,36.96287,-76.42415,0.1,35.2,39.0,BLUMENAU,IMO9605633,D5AL3,70,5,229,32,14.4,,A
367821000,2021-02-20T00:13:53,36.97283,-76.43367,0.0,0.0,511.0,YANO,IMO7825409,NAQH,70,5,276,32,13.0,70,A
477770400,2021-02-20T00:12:49,36.87993,-76.33157,0.0,98.3,96.0,BAO MAY,IMO9410155,VRGV8,70,0,292,45,18.2,70,A
538005622,2021-02-20T00:14:40,37.25240,-76.10142,0.1,105.8,353.0,SASEBO GREEN,IMO9675468,V7FN3,70,1,225,32,14.4,,A
319155200,2021-02-20T00:14:35,36.87954,-76.32641,0.0,300.5,275.0,CLARA,IMO9304083,ZGII,70,5,225,32,7.3,70,A
367359930,2021-02-20T00:16:35,36.82418,-76.28912,0.0,286.4,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
367822000,2021-02-20T00:14:08,36.97310,-76.43386,0.0,0.0,511.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
367359930,2021-02-20T00:14:15,36.82418,-76.28913,0.0,288.3,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
366841000,2021-02-20T00:15:01,36.85327,-76.31051,0.0,0.0,511.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,,A
366839000,2021-02-20T00:17:08,36.85353,-76.31079,0.0,0.0,40.0,CAPE RISE,IMO7530808,KAFG,70,5,197,32,10.0,,A
373765000,2021-02-20T00:18:12,37.26333,-76.10586,0.1,267.2,354.0,AM CONTRECOEUR,IMO9583184,3FBX4,70,1,229,32,14.4,,A
319155200,2021-02-20T00:17:35,36.87957,-76.32640,0.0,300.5,275.0,CLARA,IMO9304083,ZGII,70,5,225,32,7.3,70,A
477770400,2021-02-20T00:17:29,36.87994,-76.33156,0.0,98.3,96.0,BAO MAY,IMO9410155,VRGV8,70,0,292,45,18.2,70,A
477950300,2021-02-20T00:15:34,36.87522,-76.34917,0.0,172.8,347.0,COSCO DEVELOPMENT,IMO9472139,VRIZ9,70,5,366,48,15.5,70,A
